trade_date,phi
2023-03-31,0.69
2023-04-03,0.6829
2023-04-04,0.6786
2023-04-06,0.6729
2023-04-07,0.6871
2023-04-10,0.687
2023-04-11,0.7099
2023-04-12,0.7132
2023-04-13,0.6943
2023-04-14,0.6783
2023-04-17,0.663
2023-04-18,0.661
2023-04-19,0.658
2023-04-20,0.6526
2023-04-21,0.6563
2023-04-23,0.6602
2023-04-24,0.6549
2023-04-25,0.6569
2023-04-26,0.6668
2023-04-27,0.6874
2023-04-28,0.6922
2023-05-04,0.7003
2023-05-05,0.7088
2023-05-06,0.702
2023-05-08,0.6653
2023-05-09,0.6749
2023-05-10,0.6866
2023-05-11,0.6872
2023-05-12,0.6699
2023-05-15,0.6469
2023-05-16,0.6528
2023-05-17,0.6471
2023-05-18,0.6597
2023-05-19,0.6639
2023-05-22,0.6552
2023-05-23,0.6522
2023-05-24,0.645
2023-05-25,0.636
2023-05-26,0.6203
2023-05-29,0.633
2023-05-30,0.6231
2023-05-31,0.633
2023-06-01,0.6304
2023-06-02,0.6202
2023-06-05,0.6203
2023-06-06,0.6303
2023-06-07,0.6357
2023-06-08,0.6337
2023-06-09,0.6457
2023-06-12,0.6534
2023-06-13,0.6764
2023-06-14,0.6579
2023-06-15,0.6281
2023-06-16,0.6207
2023-06-19,0.6036
2023-06-20,0.616
2023-06-21,0.6253
2023-06-25,0.6349
2023-06-26,0.6166
2023-06-27,0.6339
2023-06-28,0.6304
2023-06-29,0.6415
2023-06-30,0.657
2023-07-03,0.6485
2023-07-04,0.6385
2023-07-05,0.6548
2023-07-06,0.6555
2023-07-07,0.6526
2023-07-10,0.6502
2023-07-11,0.6353
2023-07-12,0.6438
2023-07-13,0.6351
2023-07-14,0.6247
2023-07-17,0.6348
2023-07-18,0.6369
2023-07-19,0.637
2023-07-20,0.6305
2023-07-21,0.639
2023-07-24,0.651
2023-07-25,0.6123
2023-07-26,0.6323
2023-07-27,0.6234
2023-07-28,0.6155
2023-07-31,0.6037
2023-08-01,0.6077
2023-08-02,0.6054
2023-08-03,0.5884
2023-08-04,0.5652
2023-08-07,0.5729
2023-08-08,0.5614
2023-08-09,0.5528
2023-08-10,0.5441
2023-08-11,0.5535
2023-08-14,0.564
2023-08-15,0.5743
2023-08-16,0.5765
2023-08-17,0.5472
2023-08-18,0.5361
2023-08-21,0.5347
2023-08-22,0.5286
2023-08-23,0.5363
2023-08-24,0.5448
2023-08-25,0.5364
2023-08-28,0.5428
2023-08-29,0.5548
2023-08-30,0.555
2023-08-31,0.5529
2023-09-01,0.5353
2023-09-04,0.5379
2023-09-05,0.5405
2023-09-06,0.5282
2023-09-07,0.5606
2023-09-08,0.5822
2023-09-11,0.611
2023-09-12,0.5892
2023-09-13,0.5846
2023-09-14,0.5828
2023-09-15,0.5502
2023-09-18,0.5601
2023-09-19,0.548
2023-09-20,0.5555
2023-09-21,0.5574
2023-09-22,0.5374
2023-09-25,0.5241
2023-09-26,0.5369
2023-09-27,0.558
2023-09-28,0.5658
2023-10-07,0.5789
2023-10-08,0.5834
2023-10-09,0.5748
2023-10-10,0.5739
2023-10-11,0.5877
2023-10-12,0.6216
2023-10-13,0.6514
2023-10-16,0.6512
2023-10-17,0.6409
2023-10-18,0.6289
2023-10-19,0.6214
2023-10-20,0.6337
2023-10-23,0.6393
2023-10-24,0.6263
2023-10-25,0.6416
2023-10-26,0.6299
2023-10-27,0.6268
2023-10-30,0.6033
2023-10-31,0.6022
2023-11-01,0.6144
2023-11-02,0.6244
2023-11-03,0.6188
2023-11-06,0.6098
2023-11-07,0.5799
2023-11-08,0.598
2023-11-09,0.595
2023-11-10,0.5999
2023-11-13,0.5933
2023-11-14,0.5761
2023-11-15,0.5622
2023-11-16,0.5376
2023-11-17,0.5238
2023-11-20,0.5207
2023-11-21,0.4987
2023-11-22,0.4854
2023-11-23,0.4745
2023-11-24,0.4626
2023-11-27,0.4576
2023-11-28,0.4784
2023-11-29,0.4904
2023-11-30,0.5129
2023-12-01,0.5183
2023-12-04,0.5084
2023-12-05,0.5207
2023-12-06,0.5077
2023-12-07,0.5169
2023-12-08,0.5319
2023-12-11,0.5415
2023-12-12,0.5342
2023-12-13,0.5422
2023-12-14,0.5086
2023-12-15,0.506
2023-12-18,0.4937
2023-12-19,0.4823
2023-12-20,0.4748
2023-12-21,0.5019
2023-12-22,0.4943
2023-12-25,0.5122
2023-12-26,0.5033
2023-12-27,0.5184
2023-12-28,0.5021
2023-12-29,0.5018
2023-12-31,0.5018
2024-01-02,0.4881
2024-01-03,0.4836
2024-01-04,0.4949
2024-01-05,0.5156
2024-01-08,0.4991
2024-01-09,0.5038
2024-01-10,0.4943
2024-01-11,0.4914
2024-01-12,0.4784
2024-01-15,0.4696
2024-01-16,0.4556
2024-01-17,0.4666
2024-01-18,0.4505
2024-01-19,0.437
2024-01-22,0.4208
2024-01-23,0.4058
2024-01-24,0.3909
2024-01-25,0.3922
2024-01-26,0.3907
2024-01-29,0.3761
2024-01-30,0.3994
2024-01-31,0.3745
2024-02-01,0.3646
2024-02-02,0.3707
2024-02-04,0.3696
2024-02-05,0.3648
2024-02-06,0.338
2024-02-07,0.3664
2024-02-08,0.3421
2024-02-09,0.3497
2024-02-18,0.3406
2024-02-19,0.3568
2024-02-20,0.3675
2024-02-21,0.3592
2024-02-22,0.3668
2024-02-23,0.3592
2024-02-26,0.3711
2024-02-27,0.3691
2024-02-28,0.4127
2024-02-29,0.4026
2024-03-01,0.3746
2024-03-04,0.3878
2024-03-05,0.4241
2024-03-06,0.4651
2024-03-07,0.4528
2024-03-08,0.4431
2024-03-11,0.4207
2024-03-12,0.3933
2024-03-13,0.4181
2024-03-14,0.4102
2024-03-15,0.4354
2024-03-18,0.4627
2024-03-19,0.4754
2024-03-20,0.4555
2024-03-21,0.4579
2024-03-22,0.4406
2024-03-25,0.4382
2024-03-26,0.4325
2024-03-27,0.4674
2024-03-28,0.4549
2024-03-29,0.4699
2024-04-01,0.4542
2024-04-02,0.4625
2024-04-03,0.4667
2024-04-07,0.4559
2024-04-08,0.4489
2024-04-09,0.4302
2024-04-10,0.4029
2024-04-11,0.3973
2024-04-12,0.3867
2024-04-15,0.4005
2024-04-16,0.4039
2024-04-17,0.3992
2024-04-18,0.3913
2024-04-19,0.356
2024-04-22,0.3265
2024-04-23,0.3041
2024-04-24,0.2977
2024-04-25,0.3399
2024-04-26,0.3421
2024-04-28,0.3513
2024-04-29,0.3679
2024-04-30,0.3979
2024-05-06,0.3935
2024-05-07,0.3809
2024-05-08,0.3596
2024-05-09,0.353
2024-05-10,0.3597
2024-05-11,0.3564
2024-05-13,0.3792
2024-05-14,0.3539
2024-05-15,0.3701
2024-05-16,0.3799
2024-05-17,0.4053
2024-05-20,0.4021
2024-05-21,0.3962
2024-05-22,0.3904
2024-05-23,0.374
2024-05-24,0.3696
2024-05-27,0.3675
2024-05-28,0.3588
2024-05-29,0.3583
2024-05-30,0.3388
2024-05-31,0.3284
2024-06-03,0.3259
2024-06-04,0.3159
2024-06-05,0.321
2024-06-06,0.3069
2024-06-07,0.3109
2024-06-11,0.301
2024-06-12,0.2959
2024-06-13,0.304
2024-06-14,0.3106
2024-06-17,0.2957
2024-06-18,0.281
2024-06-19,0.2802
2024-06-20,0.2672
2024-06-21,0.268
2024-06-24,0.2758
2024-06-25,0.2658
2024-06-26,0.2789
2024-06-27,0.2726
2024-06-28,0.2684
2024-07-01,0.2441
2024-07-02,0.2493
2024-07-03,0.2364
2024-07-04,0.2169
2024-07-05,0.2086
2024-07-08,0.2203
2024-07-09,0.2306
2024-07-10,0.229
2024-07-11,0.2356
2024-07-12,0.2301
2024-07-15,0.2267
2024-07-16,0.2205
2024-07-17,0.2108
2024-07-18,0.2095
2024-07-19,0.2109
2024-07-22,0.205
2024-07-23,0.1992
2024-07-24,0.1808
2024-07-25,0.1796
2024-07-26,0.177
2024-07-29,0.1795
2024-07-30,0.1657
2024-07-31,0.1512
2024-08-01,0.157
2024-08-02,0.1488
2024-08-05,0.1232
2024-08-06,0.1326
2024-08-07,0.1345
2024-08-08,0.1184
2024-08-09,0.1241
2024-08-12,0.1314
2024-08-13,0.1557
2024-08-14,0.148
2024-08-15,0.1455
2024-08-16,0.1517
2024-08-19,0.1725
2024-08-20,0.2094
2024-08-21,0.2391
2024-08-22,0.2473
2024-08-23,0.2707
2024-08-26,0.288
2024-08-27,0.3161
2024-08-28,0.323
2024-08-29,0.3101
2024-08-30,0.3098
2024-09-02,0.3243
2024-09-03,0.3168
2024-09-04,0.3056
2024-09-05,0.2753
2024-09-06,0.2632
2024-09-09,0.2646
